"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Is Associated Structure?","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federally Regulated Dam","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks (ft)","Lock Width (Ft)","Length of Secondary Lock (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","Inundation Maps Added to NID?","American Indian/Alaska Native/Native Hawaiian"
"Quail","Peace Valley Pipeline Intake","","CA01594","","CA01594","California Department of Water Resources","State","State","1","No","DWR","No","Water Supply","Water Supply;Hydroelectric","Federal Energy Regulatory Commission","02426-04-01","34.772796","-118.761555","California","Los Angeles","Piru","32","West Branch CA Aqueduct       ","California, Congressional District 27","No","No","","No","No","No","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth","","","50","37","42","50","51-100 feet","350","","1981","1980-1989","","8613","8613","7440","290","6.6000000000000005","","None","","","","","","","","2024-01-19","2023-05-10","1","High","Satisfactory","2023-09-29","Yes","2022-01-04","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Lake Alta","","","CA00355","","CA00355","Placer County Water Agency","Local Government","Local Government","0","No","","Yes","Other","Other;Irrigation;Water Supply","California","1030.007","39.2025","-120.81670000000001","California","Placer","Unpopulated","0","Tr Nfk American R","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","22","","20","22","Less than 25 feet","955","20827","1862","Before 1900","","270","270","","23","0.08","","","","","","","","","","2024-02-22","2023-02-07","1","High","Fair","2017-09-01","Yes","2022-12-12","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Diamond Valley Lake Forebay","","","CA01413","","CA01413","Metropolitan Water District Of Southern California","Public Utility","Public Utility","0","No","","No","Other","Other;Water Supply","California","35.019","33.676","-117.0704","California","Riverside","Menifee","4","Domenigoni Val Can","California, Congressional District 41","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","22","","17","22","Less than 25 feet","4482","1713000","1999","1990-1999","","500","500","","31","0.13","","","","","","","","","","2024-02-22","2022-02-24","0.5","Low","Satisfactory","2017-09-01","Yes","2018-12-28","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Conagra Aerated and Settling Ponds","","","CA01604","","CA01604","ConAgra Grocery Products Company, LLC","Private","Private","0","No","","No","Water Supply","Water Supply;Fire Protection, Stock, Or Small Fish Pond;Irrigation","California","568","37.7558","-120.84570000000001","California","Stanislaus","Oakdale","0.1","Offstream","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","15","","15","15","Less than 25 feet","2860","0","","Undetermined","","140","140","","12","","","","","","","","","","","2024-02-22","2022-10-19","1","High","Fair","2017-09-01","Yes","2022-03-07","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Chesbro","","","CA00995","","CA00995","Rancho Murieta Community Services District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply","California","1450.002","38.509","-121.07260000000001","California","Sacramento","Rancho Murieta","0","Tr Cosumnes Rv","California, Congressional District 07","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","79","","76","79","51-100 feet","720","425000","1972","1970-1979","","1250","1250","","46","0.14","","","","","","","","","","2024-02-22","2022-02-10","1","High","Satisfactory","2017-09-01","Yes","2022-10-05","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Almaden","","","CA00289","","CA00289","Santa Clara Valley Water District","Public Utility","Public Utility","0","No","","No","Other","Other;Irrigation;Water Supply","California","72.004","37.1646","-121.828","California","Santa Clara","San Jose","2.5","Alamitos Creek","California, Congressional District 19","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","110","","102","110","Greater than 100 feet","500","250000","1936","1930-1939","","2000","2000","","62","12.5","","","","","","","","","","2024-02-22","2022-12-01","1","High","Fair","2017-09-01","Yes","2023-08-11","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Middle Fork Interbay","","","CA00858","","CA00858","Placer County Water Agency","Local Government","Local Government","1","No","McCreary-Koretsky","No","Irrigation","Irrigation;Hydroelectric;Water Supply","Federal Energy Regulatory Commission","02079-06-01","39.0264","-120.6032","California","Placer","Auburn                                            ","38","Middle Fork American River    ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Concrete","Concrete;Gravity","","","70","64","71","71","51-100 feet","233","14360","1966","1960-1969","","155","155","155","7","33.2","37400","Controlled","140","","","","","","Tainter (radial)4","2024-01-19","2022-06-22","3","Low","Satisfactory","2023-09-29","Not Required","2022-12-20","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Modesto Reservoir","","","CA00243","","CA00243","Modesto Irrigation District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Irrigation","California","59","37.662","-120.6807","California","Stanislaus","Waterford","4.75","Tr Tuolumne Rv","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","36","","36","36","25-50 feet","1235","55000","1911","1910-1919","","40000","40000","","3800","10","","","","","","","","","","2024-02-22","2022-04-13","1","High","Satisfactory","2017-09-01","Yes","2020-12-31","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Bidwell Lake","","","CA00530","","CA00530","Indian Valley Community Service District","Public Utility","Public Utility","0","No","","Yes","Water Supply","Water Supply;Irrigation;Recreation","California","273","40.1137","-120.96180000000001","California","Plumas","Greenville","1.7","No Canyon Cr","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","35","","31","35","25-50 feet","325","40000","1865","Before 1900","","5200","5200","","487","8.93","","","","","","","","","","2022-12-23","2022-04-07","1","High","Satisfactory","2017-09-01","Yes","2020-05-11","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Buck Island Main","","","CA00821","","CA00821","Sacramento Municipal Utility District","Public Utility","Public Utility","2","No","Bechtel","No","Hydroelectric","Hydroelectric;Recreation","Federal Energy Regulatory Commission","02101-03-01","39.0047","-120.25670000000001","California","El Dorado","Folsom                                            ","45","Rockbound Creek               ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Concrete","Concrete;Gravity","","","22","16","22","22","Less than 25 feet","233","2000","1963","1960-1969","","1070","1070","1010","78","6.1000000000000005","15000","Uncontrolled","4","","","","","","","2024-01-19","2019-08-13","3","Low","Satisfactory","2023-09-29","Not Required","2022-12-30","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"North Fork Diversion","","","CA01234","","CA01234","Calaveras County Water District","Public Utility","Public Utility","1","No","Sierra Constructors","No","Hydroelectric","Hydroelectric","Federal Energy Regulatory Commission","02409-03-01","38.438500000000005","-120.0168","California","Alpine","Dorrington                                        ","15","North Fork Stanislaus River   ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Gravity","Gravity","","Rock","53","27","41","53","51-100 feet","220","3570","1989","1980-1989","","340","340","120","13","27.8","16300","Uncontrolled","6695","","","","","","","2024-01-19","2022-08-09","3","Low","Satisfactory","2023-09-29","Not Required","2020-12-23","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Stough Debris Basin","","","CA01160","","CA01160","Los Angeles County Department Of Public Works","Local Government","Local Government","0","No","","No","Debris Control","Debris Control;Flood Risk Reduction","California","32.033","34.2004","-118.30430000000001","California","Los Angeles","Burbank","0","Stough Canyon","California, Congressional District 30","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","46","","34","46","25-50 feet","567","158000","1961","1960-1969","","67","67","","3","1.7","","","","","","","","","","2024-02-22","2021-12-01","1","High","Satisfactory","2017-09-01","Yes","2021-08-13","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Emergency Effluent Holding","","","CA01106","","CA01106","South Tahoe Public Utility District","Public Utility","Public Utility","0","No","","Yes","Water Supply","Water Supply;Other;Irrigation","California","1062.002","38.9155","-119.9653","California","El Dorado","South Lake Tahoe","1.4000000000000001","Tr Heavenly Vy Cr","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","27","","25","27","25-50 feet","3250","69000","1961","1960-1969","","184","184","","17","0.03","","","","","","","","","","2022-12-23","2022-06-30","1","High","Satisfactory","2017-09-01","Yes","2022-10-06","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"El Dorado Forebay","","","CA00375","","CA00375","El Dorado Irrigation District","Private","Private","1","No","","No","Hydroelectric","Hydroelectric;Irrigation;Debris Control","Federal Energy Regulatory Commission","00184-05-01","38.7701","-120.58550000000001","California","El Dorado","Coloma                                            ","15","North Fork Long Canyon        ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth","","","91","89","91","91","51-100 feet","836","","1923","1920-1929","","356","356","310","23","0.3","580","Uncontrolled","20","","","","","","","2024-01-19","2023-08-23","1","High","Fair","2023-09-29","Yes","2021-12-23","https://www.ferc.gov/dam-safety-and-inspections","Under Remediation","2023-09-29","No",""
"Calero","","","CA00288","","CA00288","Santa Clara Valley Water District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Tailings;Irrigation;Recreation","California","72.003","37.1836","-121.7913","California","Santa Clara","San Jose","0.25","Calero Creek","California, Congressional District 19","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","90","","84","90","51-100 feet","840","550000","1935","1930-1939","","9850","9850","","337","7.140000000000001","","","","","","","","","","2024-02-22","2022-12-01","1","High","Fair","2017-09-01","Yes","2023-08-11","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Georgetown Cntrl","","","CA00606","","CA00606","Georgetown Divide Public Utility District","Public Utility","Public Utility","0","No","","Yes","Other","Other;Irrigation;Water Supply","California","460.002","38.9232","-120.77510000000001","California","El Dorado","Georgetown","4","Canyon Creek","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","38","","34","38","25-50 feet","550","19392","1956","1950-1959","","50","50","","4","0.02","","","","","","","","","","2022-12-23","2022-06-08","1","Significant","Satisfactory","2017-09-01","Yes","2021-12-08","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Loma Rica Airport","","","CA00259","","CA00259","Nevada Irrigation District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Irrigation","California","61.025","39.2239","-120.9903","California","Nevada","Grass Valley","0.6","Tr L Green Horn Cr","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","41","","36","41","25-50 feet","900","51000","1965","1960-1969","","94","94","","9","0.2","","","","","","","","","","2024-02-22","2021-09-29","1","High","Satisfactory","2017-09-01","Yes","2022-10-13","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Tahquitz Creek Debris","","","CA01242","","CA01242","Riverside County Flood Control and Water Conservation District","Local Government","Local Government","0","No","","No","Debris Control","Debris Control","California","1003.012","33.811","-116.55170000000001","California","Riverside","Palm Springs","0.1","Tahquitz Creek","California, Congressional District 41","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","32","","20","32","25-50 feet","1697","121700","1991","1990-1999","","75","75","","5","","","","","","","","","","","2024-02-22","2022-04-20","1","High","Satisfactory","2017-09-01","Yes","2022-06-20","https://damsafety.org/california","Normal Operations","2023-02-22","Yes","Agua Caliente Indian Reservation"
"Preston","","","CA00012","","CA00012","Amador Regional Sanitation Authority","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Other;Irrigation","California","2029.003","38.369800000000005","-120.9398","California","Amador","Ione","0.5","Tr Mule Creek","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","40","","35","40","25-50 feet","647","86519","1949","1940-1949","","268","268","","17","0.12","","","","","","","","","","2024-02-22","2021-09-14","1","High","Satisfactory","2017-09-01","Yes","2022-10-24","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Morena","","","CA00110","","CA00110","City of San Diego","Local Government","Local Government","0","No","","Yes","Water Supply","Water Supply","California","8.005","32.686","-116.5479","California","San Diego","Barrett Junction","13","Cottonwood Cr","California, Congressional District 48","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Rockfill","Rockfill","","","181","","167","181","Greater than 100 feet","550","335300","1912","1910-1919","","50206","50206","","1475","114","","","","","","","","","","2024-02-22","2022-09-27","1","High","Poor","2021-11-10","Yes","2019-08-01","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Lower Sardine Lake","","","CA00038","","CA00038","California Department of Fish and Wildlife","State","State","0","No","","Yes","Water Supply","Water Supply;Recreation","California","1.051","39.616","-120.62270000000001","California","Sierra","","","Sardine Creek","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","17","","9","17","Less than 25 feet","162","6500","1965","1960-1969","","280","280","","38","1.9000000000000001","","","","","","","","","","2022-12-23","2021-11-01","0.5","Low","Satisfactory","2017-09-01","Not Required","","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Stevens Creek","","","CA00292","","CA00292","Santa Clara Valley Water District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Irrigation","California","72.007","37.298300000000005","-122.0754","California","Santa Clara","Cupertino","0.7000000000000001","Stevens Creek","California, Congressional District 16","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","132","","123","132","Greater than 100 feet","1080","386000","1935","1930-1939","","3074","3074","","95","17.63","17697","","","","","","","","","2024-02-22","2023-04-20","1","High","Fair","2021-12-13","Yes","2023-08-11","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Campbell Lake","","","CA00495","","CA00495","Private Entity","Private","Private","0","No","","Yes","Water Supply","Water Supply;Irrigation","California","180","41.5353","-123.1024","California","Siskiyou","Quartz Valley","10","Shackleford Cr","California, Congressional District 01","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","19","","15","19","Less than 25 feet","65","0","1929","1920-1929","","350","350","","35","0.5","","","","","","","","","","2022-12-23","2022-07-13","0.5","Low","Fair","2020-08-13","Not Required","","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","No",""
"Ice House Main","","","CA00814","","CA00814","Sacramento Municipal Utility District","Public Utility","Public Utility","3","No","Bechtel","No","Hydroelectric","Hydroelectric;Recreation","Federal Energy Regulatory Commission","02101-08-01","38.8237","-120.36110000000001","California","El Dorado","Coloma                                            ","40","South Fork Silver Creek       ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Rockfill","Rockfill;Earth","Earth","","148","148","152","152","Greater than 100 feet","1440","610000","1959","1950-1959","","43496","43496","34000","678","27.2","22500","Controlled","40","","","","","","Tainter (radial)2","2024-01-19","2023-08-29","1","High","Fair","2023-09-29","Yes","2023-01-03","https://www.ferc.gov/dam-safety-and-inspections","Under Remediation","2023-09-29","No",""
"Nacimiento","","","CA00812","","CA00812","Monterey County Water Resources Agency","Local Government","Local Government","1","No","","No","Hydroelectric","Hydroelectric;Irrigation;Recreation;Water Supply;Flood Risk Reduction","Federal Energy Regulatory Commission","06378-01-01","35.759","-120.884","California","San Luis Obispo","Bradley                                           ","16","Nacimiento River              ","California, Congressional District 19","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Earth","Earth","","Soil","210","185","255","255","Greater than 100 feet","1630","3450000","1956","1950-1959","","470000","470000","377900","5400","330","102400","Controlled","150","","","","","","","2024-01-19","2022-10-18","1","High","Poor","2023-09-29","Yes","2023-05-24","https://www.ferc.gov/dam-safety-and-inspections","Under Remediation","2023-09-29","No",""
"Wide Canyon","","","CA00803","","CA00803","Riverside County Flood Control and Water Conservation District","Local Government","Local Government","0","No","","No","Flood Risk Reduction","Flood Risk Reduction","California","1003.008","33.9369","-116.3982","California","Riverside","Desert Hot Springs","2","West Wide Canyon","California, Congressional District 25","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","84","","71","84","51-100 feet","2225","608000","1968","1960-1969","","1490","1490","","57","","","","","","","","","","","2024-02-22","2022-04-20","1","High","Satisfactory","2017-09-01","Yes","2013-10-31","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Blackburn","","","CA01310","","CA01310","Tehachapi-Cummings County Water District","Public Utility","Public Utility","0","No","","No","Flood Risk Reduction","Flood Risk Reduction","California","1083.003","35.101800000000004","-118.4111","California","Kern","Monolith and Tehachapi","1.2","Blackburn Creek","California, Congressional District 20","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","","48","","32","48","25-50 feet","4000","0","1991","1990-1999","","625","625","","28","","","","","","","","","","","2022-12-23","2022-05-24","1","High","Satisfactory","2017-09-01","Yes","2019-08-27","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Detention Pond A","","","CA01476","","CA01476","City of Dixon","Local Government","Local Government","0","No","","No","Flood Risk Reduction","Flood Risk Reduction;Irrigation","California","2037","38.424","-121.8339","California","Solano","Dixon","0","Offstream","California, Congressional District 04","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","15","","11","15","Less than 25 feet","3700","0","1989","1980-1989","","737","737","","87","2.92","","","","","","","","","","2024-02-22","2022-02-11","1","Significant","Satisfactory","2017-09-01","Yes","2021-01-04","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"El Dorado Hills","","","CA01176","","CA01176","El Dorado Irrigation District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Other;Irrigation","California","53.008","38.639","-121.05860000000001","California","El Dorado","El Dorado Hills","0","Offstream","California, Congressional District 05","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","31","","28","31","25-50 feet","2340","119000","1980","1980-1989","","215","215","","23","0.27","","","","","","","","","","2024-02-22","2022-03-08","1","High","Satisfactory","2017-09-01","No","","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Brand Debris Basin","","","CA01152","","CA01152","Los Angeles County Department Of Public Works","Local Government","Local Government","0","No","","No","Debris Control","Debris Control;Flood Risk Reduction","California","32.026","34.185","-118.277","California","Los Angeles","Glendale","0","Brand Debris Bns","California, Congressional District 30","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","45","","32","45","25-50 feet","400","94000","1965","1960-1969","","42","42","","3","1.03","","","","","","","","","","2024-02-22","2021-12-01","1","High","Satisfactory","2017-09-01","No","","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Veterans Home","","","CA00008","","CA00008","California Department of Veteran Affairs","State","State","0","No","","No","Water Supply","Water Supply;Irrigation;Recreation","California","1.014","38.3918","-122.3784","California","Napa","Yountville","0.3","Tr Napa River","California, Congressional District 04","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","47","","44","47","25-50 feet","320","0","1908","1900-1909","","39","39","","2","0.28","476.40000000000003","","","","","","","","","2024-02-22","2023-03-08","1","High","Fair","2017-09-01","Yes","2022-09-15","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Middle Fork Brush Creek","","","CA00793","","CA00793","Sonoma County Water Agency","Local Government","Local Government","0","No","","No","Flood Risk Reduction","Flood Risk Reduction","California","1002.003","38.4868","-122.6726","California","Sonoma","Santa Rosa","0.1","Mfk Brush Cr","California, Congressional District 02","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","","37","","30","37","25-50 feet","1100","55525","1961","1960-1969","","138","138","","20","2.24","","","","","","","","","","2022-12-23","2021-09-23","1","High","Satisfactory","2017-09-01","Yes","2021-10-12","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Lagunitas","","","CA00205","","CA00205","Marin Municipal Water District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply","California","33.002","37.9476","-122.5963","California","Marin","Point Reyes Station","7.1000000000000005","Lagunitas Creek","California, Congressional District 02","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","48","","43","48","25-50 feet","433","85000","1872","Before 1900","","341","341","","22","1.8","","","","","","","","","","2024-02-22","2022-09-15","1","Significant","Satisfactory","2017-09-01","Yes","2021-01-26","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Hell Hole","","","CA00857","","CA00857","Placer County Water Agency","Local Government","Local Government","1","No","McCreary-Koretsky","No","Irrigation","Irrigation;Recreation;Hydroelectric;Water Supply;Flood Risk Reduction","Federal Energy Regulatory Commission","02079-03-01","39.058","-120.40910000000001","California","Placer","Auburn","57","Rubicon River                 ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Rockfill","Rockfill;Gravity","","","410","390","410","410","Greater than 100 feet","1570","8440000","1966","1960-1969","","207000","207000","207000","1253","113","58800","Uncontrolled","350","","","","","","","2024-01-19","2023-08-22","1","High","Fair","2023-09-29","Yes","2022-12-20","https://www.ferc.gov/dam-safety-and-inspections","Under Investigation, Planning, Permitting, or Design for Remediation","2023-09-29","No",""
"Lake Hodges","","","CA00108","","CA00108","City of San Diego","Local Government","Local Government","0","No","","No","Water Supply","Water Supply","California","8.003","33.0459","-117.12920000000001","California","San Diego","Rancho Santa Fe","2","San Dieguito River","California, Congressional District 50","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Multi-Arch","Multi-Arch","","","131","","116","131","Greater than 100 feet","729","18128","1918","1910-1919","","37700","37700","","1317","303","","","","","","","","","","2024-02-22","2023-02-15","1","High","Unsatisfactory","2023-02-02","Yes","2019-06-04","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"San Antonio","","","CA00813","","CA00813","Monterey County Water Resources Agency","Public Utility","Public Utility","0","No","","No","Flood Risk Reduction","Flood Risk Reduction;Irrigation;Water Supply","California","1008.002","35.796800000000005","-120.8857","California","Monterey","Bradley, San Ardo, Salinas","6.5","San Antonio River","California, Congressional District 18","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","202","","180","202","Greater than 100 feet","1433","4200000","1965","1960-1969","","350000","350000","","5720","353","","","","","","","","","","2024-02-22","2023-05-25","1","High","Fair","2019-04-12","Yes","2018-05-15","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Adobe Creek","","","CA00827","","CA00827","Lake County Watershed Protection District","Public Utility","Public Utility","0","No","","No","Flood Risk Reduction","Flood Risk Reduction;Recreation;Water Supply","California","1011","38.9429","-122.8893","California","Lake","","","Adobe Creek","California, Congressional District 04","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","Natural Resources Conservation Service","Natural Resources Conservation Service","Natural Resources Conservation Service","","Natural Resources Conservation Service","","","Yes","Watershed Protection and Flood Prevention Act of 1954 (Public Law 83-566)","Earth","Earth","","","36","","27","36","25-50 feet","1280","98000","1962","1960-1969","","695","695","","64","7.9","","","","","","","","","","2022-12-23","2021-09-08","1","High","Satisfactory","2017-09-01","Yes","2020-12-08","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Madera Lake","","","CA00027","","CA00027","Madera Irrigation District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Irrigation;Recreation","California","682","37.0205","-120.00150000000001","California","Madera","Madera","3.5","Fresno River","California, Congressional District 13","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","31","","17","31","25-50 feet","6600","87000","1958","1950-1959","","2300","2300","","220","4.5","","","","","","","","","","2024-02-22","2021-08-31","1","High","Satisfactory","2017-09-01","Yes","2022-02-02","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
