"Dam Name","Other Names","Former Names","NID ID","Other Structure ID","Federal ID","Owner Names","Owner Types","Primary Owner Type","Number of Associated Structures","Is Associated Structure?","Designer Names","Non-Federal Dam on Federal Property","Primary Purpose","Purposes","Source Agency","State or Federal Agency ID","Latitude","Longitude","State","County","City","Distance to Nearest City (Miles)","River or Stream Name","Congressional District","State Regulated Dam","State Jurisdictional Dam","State Regulatory Agency","State Permitting Authority","State Inspection Authority","State Enforcement Authority","Federally Regulated Dam","Federal Agency Owners","Federal Agency Involvement Funding","Federal Agency Involvement Design","Federal Agency Involvement Construction","Federal Agency Involvement Regulatory","Federal Agency Involvement Inspection","Federal Agency Involvement Operation","Federal Agency Involvement Other","Built Under the Authority of the Secretary of Agriculture","NRCS Watershed Dam Authorization","Primary Dam Type","Dam Types","Core Types","Foundation","Dam Height (Ft)","Hydraulic Height (Ft)","Structural Height (Ft)","NID Height (Ft)","NID Height Category","Dam Length (Ft)","Volume (Cubic Yards)","Year Completed","Year Completed Category","Years Modified","NID Storage (Acre-Ft)","Max Storage (Acre-Ft)","Normal Storage (Acre-Ft)","Surface Area (Acres)","Drainage Area (Sq Miles)","Max Discharge (Cubic Ft/Second)","Spillway Type","Spillway Width (Ft)","Number of Locks","Length of Locks (ft)","Lock Width (Ft)","Length of Secondary Lock (Ft)","Secondary Lock Width (Ft)","Outlet Gate Type","Data Last Updated","Last Inspection Date","Inspection Frequency","Hazard Potential Classification","Condition Assessment","Condition Assessment Date","EAP Prepared","EAP Last Revision Date","Website URL","Operational Status","Operational Status Date","Inundation Maps Added to NID?","American Indian/Alaska Native/Native Hawaiian"
"Riviera Reservoir","","","CA00876","","CA00876","City of Santa Monica Department Of Public Works","Local Government","Local Government","0","No","","No","Water Supply","Water Supply","California","1043","34.0505","-118.5005","California","Los Angeles","Santa Monica","0.2","Offstream","California, Congressional District 32","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Other","Other","","","40","","38","40","25-50 feet","1280","11700","1962","1960-1969","","76","76","","2","","","","","","","","","","","2024-02-22","2022-06-02","1","High","Satisfactory","2017-09-01","Yes","2022-09-13","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Bouquet Canyon","","","CA00088","","CA00088","City of Los Angeles Department of Water And Power","Local Government","Local Government","0","No","","Yes","Water Supply","Water Supply","California","6.031","34.5784","-118.3866","California","Los Angeles","Santa Clarita","15.6","Bouquet Creek","California, Congressional District 27","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","190","","175","190","Greater than 100 feet","1180","2966000","1934","1930-1939","","36505","36505","","628","13.6","","","","","","","","","","2024-02-22","2023-09-06","1","High","Fair","2023-07-21","Yes","2022-08-09","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-07-21","Yes",""
"Kern River County Park","","","CA00720","","CA00720","Kern County Parks and Recreation","Local Government","Local Government","0","No","","No","Water Supply","Water Supply;Recreation","California","735","35.4414","-118.8601","California","Kern","Bakersfield","7","Tr Kern River","California, Congressional District 20","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","24","","21","24","Less than 25 feet","4700","144882","1959","1950-1959","","790","790","","113","0.6","","","","","","","","","","2024-02-22","2022-05-18","1","High","Satisfactory","2017-09-01","Yes","2018-12-27","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Gerle Creek","","","CA00818","","CA00818","Sacramento Municipal Utility District","Public Utility","Public Utility","1","No","Bechtel","No","Hydroelectric","Hydroelectric;Recreation","Federal Energy Regulatory Commission","02101-05-01","38.966300000000004","-120.39420000000001","California","El Dorado","Coloma","40","Gerle Creek                   ","California, Congressional District 03","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Concrete","Concrete;Gravity","","","65","64","74","74","51-100 feet","444","8500","1962","1960-1969","","831","831","831","50","30.900000000000002","19500","Uncontrolled","180","","","","","","","2024-01-19","2023-08-17","3","Low","Satisfactory","2023-09-29","Not Required","2022-12-30","https://www.ferc.gov/dam-safety-and-inspections","Normal Operations","2023-09-29","No",""
"Lower Sunset Debris Basin","","","CA01161","","CA01161","Los Angeles County Department Of Public Works","Local Government","Local Government","0","No","","No","Debris Control","Debris Control;Flood Risk Reduction","California","32.034","34.1956","-118.29700000000001","California","Los Angeles","Burbank","0","Sunset Canyon","California, Congressional District 30","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","86","","70","86","51-100 feet","379","117000","1963","1960-1969","","37","37","","2","1.1","","","","","","","","","","2024-02-22","2021-12-01","1","High","Satisfactory","2017-09-01","Yes","2021-08-13","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Reclaimed Water Reservoir","","","CA01391","","CA01391","City of Shasta Lake","Local Government","Local Government","0","No","","No","Water Supply","Water Supply;Irrigation","California","2039","40.65891","-122.38597899999999","California","Shasta","","","Tr Churn Creek","California, Congressional District 01","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","37","","33","37","25-50 feet","1000","157000","1995","1990-1999","","370","370","","29","0","","","","","","","","","","2024-02-22","2021-10-26","0.5","Low","Satisfactory","2017-09-01","Yes","2021-04-02","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Blanchard Debris Basin","","","CA01151","","CA01151","Los Angeles County Department Of Public Works","Local Government","Local Government","0","No","","No","Debris Control","Debris Control;Flood Risk Reduction","California","32.025","34.2539","-118.27120000000001","California","Los Angeles","Tujunga","0.1","Blanchard Can","California, Congressional District 30","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","50","","38","50","51-100 feet","925","83000","1966","1960-1969","","26","26","","1","0.5","","","","","","","","","","2024-02-22","2021-12-01","1","High","Satisfactory","2017-09-01","No","","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Vasona Percolating","","","CA00291","","CA00291","Santa Clara Valley Water District","Public Utility","Public Utility","0","No","","No","Other","Other;Irrigation;Water Supply","California","72.006","37.2462","-121.9637","California","Santa Clara","Los Gatos","0","Los Gatos Crk","California, Congressional District 16","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","34","","22","34","25-50 feet","1000","61000","1935","1930-1939","","410","410","","58","44.2","","","","","","","","","","2024-02-22","2021-12-01","1","High","Satisfactory","2017-09-01","Yes","2021-08-18","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Bear Gulch","","","CA00658","","CA00658","California Water Service Company","Private","Private","0","No","","No","Water Supply","Water Supply","California","581.006","37.4315","-122.22760000000001","California","San Mateo","Menlo Park","0","Tr San Fran Bay","California, Congressional District 16","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","61","","56","61","51-100 feet","730","156000","1896","Before 1900","","725.45","725.45","","25","0.15","69.9","","","","","","","","","2024-02-22","2023-04-05","1","High","Poor","2022-01-05","Yes","2021-04-30","https://damsafety.org/california","Under Investigation, Planning, Permitting, or Design for Remediation","2023-02-22","Yes",""
"Sunset North Basin","","","CA00134","","CA00134","City and County of San Francisco","Local Government","Local Government","0","No","","No","Water Supply","Water Supply","California","10.023","37.7517","-122.48310000000001","California","San Francisco","San Francisco","0","Offstream","California, Congressional District 11","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","74","","72","74","51-100 feet","2300","320000","1938","1930-1939","","275","275","","12","","","","","","","","","","","2024-02-22","2022-02-25","1","High","Satisfactory","2017-09-01","Yes","2020-01-27","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Mcswain","","","CA00242","","CA00242","Merced Irrigation District","Public Utility","Public Utility","1","No","","No","Hydroelectric","Hydroelectric;Irrigation;Recreation","Federal Energy Regulatory Commission","02179-01-01","37.521","-120.3109","California","Mariposa","Snelling                                          ","8","Merced River                  ","California, Congressional District 05","Yes","Yes","DWR, Safety of Dams","Yes","Yes","Yes","Yes","","","","","Federal Energy Regulatory Commission","Federal Energy Regulatory Commission","","","No","N/A","Rockfill","Rockfill;Earth","Unlisted/Unknown","Unlisted/Unknown","97","50","","97","51-100 feet","1620","","1966","1960-1969","","9730","9730","8255","310","1054","250000","Uncontrolled","625","","","","","","","2024-01-19","2023-08-08","1","High","Fair","2023-09-29","Yes","2022-12-29","https://www.ferc.gov/dam-safety-and-inspections","Under Remediation","2023-09-29","No",""
"Bascherini","","","CA00836","","CA00836","Solano Irrigation District","Public Utility","Public Utility","0","No","","No","Water Supply","Water Supply;Irrigation","California","1016","38.3684","-121.98910000000001","California","Solano","Vacaville","0.3","Tr Ulatis Creek","California, Congressional District 04","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","35","","32","35","25-50 feet","333","17065","1962","1960-1969","","19","19","","2","0.04","","","","","","","","","","2024-02-22","2022-08-11","1","High","Satisfactory","2017-09-01","Yes","2021-09-09","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Greenhorn","","","CA00826","","CA00826","City of Yreka","Local Government","Local Government","0","No","","No","Water Supply","Water Supply;Recreation","California","1010","41.7093","-122.6517","California","Siskiyou","Yreka","0.1","Greenhorn Creek","California, Congressional District 01","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","35","","30","35","25-50 feet","1300","136500","1960","1960-1969","","251","251","","25","12.1","","","","","","","","","","2024-02-22","2022-03-22","1","High","Satisfactory","2017-09-01","Yes","2019-09-20","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Las Llajas","","","CA01217","","CA01217","Ventura County Watershed Protection District","Local Government","Local Government","0","No","","No","Flood Risk Reduction","Flood Risk Reduction;Water Supply","California","86.005","34.3029","-118.6894","California","Ventura","Simi Valley","0.1","Las Llajas Can","California, Congressional District 26","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","96","","84","96","51-100 feet","580","500000","1981","1980-1989","","1250","1250","","46","6.7700000000000005","","","","","","","","","","2024-02-22","2022-08-10","1","High","Satisfactory","2017-09-01","Yes","2022-07-27","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Chevy Chase 1290 Reservoir","","","CA01078","","CA01078","City of Glendale","Local Government","Local Government","0","No","","No","Water Supply","Water Supply","California","5.008","34.1754","-118.21430000000001","California","Los Angeles","Chevy Chase Residential Community","0.1","Tr Sycamore Can","California, Congressional District 30","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","90","","88","90","51-100 feet","300","57000","1940","1940-1949","","17","17","","1","0.01","","","","","","","","","","2024-02-22","2022-08-24","1","High","Satisfactory","2017-09-01","Yes","2020-05-05","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
"Reservoir A","","","CA01112","","CA01112","Northstar Community Services District","Public Utility","Public Utility","0","No","","Yes","Water Supply","Water Supply","California","1086","39.258700000000005","-120.1105","California","Placer","Northstare Resort","1.2","West Martis Cr","California, Congressional District 03","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","93","","88","93","51-100 feet","516","158100","1973","1970-1979","","180","180","","9","0.93","","","","","","","","","","2022-12-23","2021-08-11","1","High","Satisfactory","2017-09-01","Yes","2021-04-02","https://damsafety.org/california","Normal Operations","2023-02-22","No",""
"Stanford Heights","","","CA00130","","CA00130","City and County of San Francisco","Local Government","Local Government","0","No","","No","Water Supply","Water Supply","California","10.013","37.7416","-122.4509","California","San Francisco","San Francisco","0","Offstream","California, Congressional District 11","Yes","Yes","DWR, Division of Safety of Dams","Yes","Yes","Yes","No","","","","","","","","","No","N/A","Earth","Earth","","","31","","28","31","25-50 feet","1480","0","1928","1920-1929","","37","37","","2","0","","","","","","","","","","2024-02-22","2022-02-24","1","High","Satisfactory","2017-09-01","Yes","2020-01-27","https://damsafety.org/california","Normal Operations","2023-02-22","Yes",""
